[?][main][DEBUG   ] asyncio: Using selector: EpollSelector
[Chrome Latest][gw0][INFO    ] pages.login_page: Starting eBay login for user: 'sivangob@gmail.com'
[Chrome Latest][gw0][INFO    ] pages.base_page: Navigating to: https://signin.ebay.com/signin/
[Chrome Latest][gw0][INFO    ] pages.base_page: [Username / email field] Trying primary selector: '#userid'
[Chrome Latest][gw0][INFO    ] pages.base_page: Locator succeeded: '#userid'
[Chrome Latest][gw0][INFO    ] pages.base_page: [Username / email field] Resolved with primary selector: '#userid'
[Chrome Latest][gw0][INFO    ] pages.base_page: [Username / email field] Filled with: 'sivangob@gmail.com'
[Chrome Latest][gw0][INFO    ] pages.login_page: Username entered.
[Chrome Latest][gw0][INFO    ] pages.base_page: [Continue button] Trying primary selector: '#signin-continue-btn'
[Chrome Latest][gw0][INFO    ] pages.base_page: Locator succeeded: '#signin-continue-btn'
[Chrome Latest][gw0][INFO    ] pages.base_page: [Continue button] Resolved with primary selector: '#signin-continue-btn'
[Chrome Latest][gw0][INFO    ] pages.base_page: [Continue button] Clicked.
[Chrome Latest][gw0][INFO    ] pages.login_page: Continue button clicked — waiting for password field.
[Chrome Latest][gw0][ERROR   ] pages.base_page: Screenshot saved: screenshots/continue_transition_timeout_20260316_162038.png
